"env","loc","year","gen","height","lodging","size","protein","oil"
"N70","Nambour",1970,"G49",0.495,1,13.4,33.25,25.725
"R71","RedlandBay",1971,"G22",0.99,3,6.9,47.45,15.26
"N71","Nambour",1971,"G45",0.42,1,17.15,38.85,22.495
"R71","RedlandBay",1971,"G25",0.9,2,8.05,41.5,19.055
"L70","Lawes",1970,"G09",1.03,3,11.25,35.9,21.495
"B70","Brookstead",1970,"G47",0.875,1.25,20.05,38.95,22.46
"N70","Nambour",1970,"G19",0.76,2.5,9.9,39.45,20.455
"B71","Brookstead",1971,"G50",0.75,3,19.3,40.2,23.32
"R71","RedlandBay",1971,"G55",0.33,1,15.15,40.45,21.545
"B70","Brookstead",1970,"G52",0.56,1.25,10.2,40.35,17.37
"L70","Lawes",1970,"G58",0.81,3.5,16.1,40.9,20.78
"B71","Brookstead",1971,"G46",0.735,2.75,18.1,38.3,20.495
"N70","Nambour",1970,"G04",0.71,1.5,12.75,34.35,23.175
"B71","Brookstead",1971,"G22",0.99,2.75,8.65,48.5,15.535
"R70","RedlandBay",1970,"G07",0.9,2.25,7.85,37.7,20.735
"R70","RedlandBay",1970,"G39",1.28,4.25,6.85,42.9,18.21
"L70","Lawes",1970,"G03",1.46,3.75,10.85,37.8,21.295
"R70","RedlandBay",1970,"G31",0.93,3.5,6.7,42.55,15.65
"N71","Nambour",1971,"G56",0.345,1,19.2,42.4,21.405
"B71","Brookstead",1971,"G23",1.03,3,7.45,44.25,16.935
"N71","Nambour",1971,"G51",0.41,1,21,42.6,21.55
"N70","Nambour",1970,"G47",0.535,1,15.75,38.8,23.505
"L70","Lawes",1970,"G19",1.37,4.25,8.5,41.05,19.395
"B71","Brookstead",1971,"G07",0.95,2.75,14,37.4,19.53
"N71","Nambour",1971,"G07",0.685,1,11.85,37.4,22.255
"R70","RedlandBay",1970,"G30",1.07,2.5,6.65,44.6,16.245
"R70","RedlandBay",1970,"G27",0.925,3,7.5,40.55,17.41
"N70","Nambour",1970,"G54",NA,1,19.05,37.4,25.92
"R70","RedlandBay",1970,"G58",0.62,2,17.7,37.45,24.63
"N70","Nambour",1970,"G06",0.595,1.25,11.95,35.1,23.17
"R70","RedlandBay",1970,"G56",0.56,2.25,18.95,38,23.955
"R70","RedlandBay",1970,"G47",0.605,1.75,17.1,37.8,25.095
"L70","Lawes",1970,"G05",1.335,3.5,11,37.5,22.13
"N71","Nambour",1971,"G36",0.735,1.75,7.6,42.05,18.775
"L70","Lawes",1970,"G47",NA,2,21,36.8,23.83
"L70","Lawes",1970,"G57",0.8,2.25,19.8,40.6,23.18
"R70","RedlandBay",1970,"G55",0.43,1.25,18.4,38.9,24.345
"N71","Nambour",1971,"G02",0.595,1,9.45,40.95,20.665
"B71","Brookstead",1971,"G30",0.965,3.25,8.75,45.2,15.565
"L70","Lawes",1970,"G10",1.155,3.75,10.85,39.7,20.43
"N71","Nambour",1971,"G35",0.76,1.25,7.25,41.65,18.06
"N70","Nambour",1970,"G50",0.435,1,17.8,34.95,26.845
"B70","Brookstead",1970,"G39",1.105,2.75,8.7,42.75,19.36
"R70","RedlandBay",1970,"G28",1.115,3.25,5.05,39.8,16.75
"N71","Nambour",1971,"G46",0.435,1,17.25,39,22.745
"B71","Brookstead",1971,"G44",0.76,3,18.65,41.45,20.015
"N71","Nambour",1971,"G44",0.395,1,17,38.85,22.52
"R71","RedlandBay",1971,"G13",1.04,3,5.85,47.5,15.305
"L71","Lawes",1971,"G46",0.52,1.25,15.75,36.75,23.25
"N70","Nambour",1970,"G13",0.86,2.5,8.55,37.65,21.71
"B70","Brookstead",1970,"G51",0.71,1.25,18.55,40.5,20.345
"B71","Brookstead",1971,"G04",0.9,2.25,12.75,38.5,19.52
"N71","Nambour",1971,"G53",0.42,1,21.8,41.75,22.63
"B70","Brookstead",1970,"G28",1.17,3,7.6,38.2,19.99
"B71","Brookstead",1971,"G10",0.81,2.5,13.45,39.95,18.61
"R70","RedlandBay",1970,"G35",1.12,3,7.1,40.95,17.05
"N71","Nambour",1971,"G37",0.875,1.75,7.15,42.5,18.23
"N71","Nambour",1971,"G54",0.355,1,20.15,40.65,23.5
"R71","RedlandBay",1971,"G51",0.56,1,18.25,40.35,21.31
"B70","Brookstead",1970,"G10",1.045,2,11.85,38.35,19.745
"B71","Brookstead",1971,"G53",0.675,1.75,21.9,39.05,22.135
"N70","Nambour",1970,"G20",0.685,1.5,9.85,38.95,19.93
"L71","Lawes",1971,"G41",1.015,2.25,9.65,39.7,19.14
"R71","RedlandBay",1971,"G20",0.955,3.25,6.95,46.05,16.615
"B70","Brookstead",1970,"G35",1.055,2.5,8.65,40.1,19.15
"N71","Nambour",1971,"G48",0.445,1,14.85,38.8,23.82
"B71","Brookstead",1971,"G43",0.97,3,8.45,43.55,17.03
"L71","Lawes",1971,"G27",0.855,1.25,10.25,39.8,18.92
"B70","Brookstead",1970,"G56",NA,1.5,19.85,39.25,22.205
"R70","RedlandBay",1970,"G17",0.89,3.25,5.65,44.75,13.06
"R70","RedlandBay",1970,"G09",0.93,2.25,8.65,38.2,19.76
"R70","RedlandBay",1970,"G42",1.095,3.5,13.25,44.5,20.795
"L71","Lawes",1971,"G21",1.105,3,7.35,37.6,16.98
"L70","Lawes",1970,"G38",1.17,4.5,9.9,39.25,20.74
"R70","RedlandBay",1970,"G20",1.08,4,6.95,43.9,14.845
"L71","Lawes",1971,"G33",1,2.25,9.85,37,18.925
"R70","RedlandBay",1970,"G08",0.89,1.75,7.9,39.5,19.13
"B70","Brookstead",1970,"G17",1.09,3,6.9,44.6,16.22
"B71","Brookstead",1971,"G05",0.975,3.25,13.3,39.4,19.9
"L70","Lawes",1970,"G37",1.7,4.25,8.65,42.8,19.155
"R71","RedlandBay",1971,"G03",0.835,1.5,9.1,39.85,19.67
"L70","Lawes",1970,"G01",1.445,4.25,8.45,36.7,20.895
"N71","Nambour",1971,"G01",0.725,1.25,7.3,38.5,19.285
"B71","Brookstead",1971,"G39",1.295,3.75,8.85,41.8,18.15
